"Key","Name","Description","Type","Value","Note Text","Chinese - Name","Chinese - Description","Chinese Note Text","Spanish - Name","Spanish - Description","Spanish - Note","French - Name","French - Desc","French - Note","Japanese - Name","Japanese - Desc ","Japanese - Note Text","Portuguese - Name","Portuguese - Desc","Portuguese - Note Text","Korean - Name","Korean - Desc","Korean - Note"
"inv_dew_amber","Янтарная роса","Роса из корней Рощи. Она довольно мощная, но имеет странные побочные эффекты.","dew","","","","","","SPN - Amber Dew","SPN - Dew pulled from the Grove's roots. It's more potent, but has odd side-effects.","","","","","","","","","","","","",""
"inv_dew_hollow","Мелкая роса","Конечно, это можно было бы назвать Росой, но чего-то не хватает.","dew","","","","","","SPN - Shallow Dew","SPN - One could certainly call this Dew, but something is missing.","","","","","","","","","","","","",""
"inv_dew_tap","Роса из крана","Обычная Роса, которую можно найти везде в Роще.","dew","","","","","","SPN - Tap Dew","SPN - Common-place Dew found anywhere in the Grove.","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"Key Items","Name","Description","Type","Value","Note Text","","","","","","","","","","","","","","","","","",""
"inv_key_map","Карта рощи","Пыльная карта, составленная опытным картографом.","key","100","Нанесите на карту места Рощи!","","","","SPN - Name","SPN - Desc","","","","","","","","","","","","",""
"inv_key_timepiece","Часы","Следит за временем. Показываются в вашем инвентаре!","key","100","Следите за временем!","","","","SPN - Name","SPN - Desc","","","","","","","","","","","","",""
"inv_key_compass_clover","Компас Клевер","Работает вместе с картой. Его листья тянутся и в другие неизвестные места...","key","30","","","","","SPN - Name","SPN - Desc","","","","","","","","","","","","",""
"inv_key_journal","Личный журнал","Небольшое место, чтобы собраться с мыслями. Несколько страниц было использовано Сливой.","key","100","Собирай воспоминания, чтобы использовать их как перки!","","","","SPN - Name","SPN - Desc","","","","","","","","","","","","",""
"inv_key_anemoscope","Анемоскоп","Специальный инструмент Моряка. Умеет определять погоду.","key","50","Следите за погодой в своем инвентаре!","","","","SPN - Name","SPN - Desc","","","","","","","","","","","","",""
"inv_key_calender","Календарь","Ежедневный трекер событий из Шелка.","key","100","","","","","SPN - Name","SPN - Desc","","","","","","","","","","","","",""
"inv_key_scrystone","Камень Гадания","Небольшой наглазник со стеклянной линзой. Изготовлен из того же материала, что и эпитафии, и позволит вам различать их послания.","key","100","Найдите путь сквозь Туманы!","","","","","","","","","","","","","","","","","",""
"inv_key_coveshack","Ключ Быхты Ракушки","Старый изношенный ключ от сундука в Бухте Ракушки","key","10","","","","","SPN - Name","SPN - Desc","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"inv_key_costbook","Книга цен","Старая книга для учета стоимости предметов. Показывает ценность ресурсов в инвентаре.","key","50","","","","","","","","","","","","","","","","","","",""
"inv_key_pnc_request","Карандаш Просьб","Следите за местоположениями просьб на карте.","key","50","","","","","","","","","","","","","","","","","","",""
"inv_key_pnc_fauna","Карандаш Фауны","Следите за ресурсами на карте.","key","50","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"Basic Resources","Name","Description","Type","Value"," ","","","","","","","","","","","","","","","","","",""
"inv_rsr_pebble","Галька","Крошечный камушек. Идеально подходит для бросков через пруд!","resource","1","","","","","Pebble","Tinyrock. Perfect for skipping across a pond!","","","","","","","","","","","","",""
"inv_rsr_rock","Осколок","Кусочек камня. Гладенький.","resource","2","","","","","Rock","A sizable portion of stone. Smooth.","","","","","","","","","","","","",""
"inv_rsr_chunk","Кусок","Большая часть камня","resource","5","","","","","Chunk","Large piece of stone. ","","","","","","","","","","","","",""
"inv_rsr_twig","Веточка","Скромная веточка. Хотя и небольшая, но ценится мастерами за гибкость.","resource","1","","","","","Twig","A humble twig. Though small and weak, it is valued by crafters for its flexibility.","","","","","","","","","","","","",""
"inv_rsr_branch","Ветвь","Небольшая часть дерева.","resource","2","","","","","Branch","A matured tree segment. ","","","","","","","","","","","","",""
"inv_rsr_bough","Сук","Пыльный, толстый кусок дерева. Его поверхность весьма прочна.","resource","5","","","","","Bough","A dusty, thick tree segment. Its surface is tough and riddled with wear.","","","","","","","","","","","","",""
"inv_rsr_glass_shard","Стеклянный осколок","Цельный кусочек стекла. Острый и трудный для использования.","resource","3","","","","","Glass Shard","A solid piece of glass. Sharp and difficult for the inexperienced to work with.","","","","","","","","","","","","",""
"inv_rsr_glass_lens","Стеклянная линза","Идеально круглое стекло. Немного искажает свет.","resource","8","","","","","Crystal Lens","Perfectly circle piece of glass. It slightly distorts light.","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"Resources","Name","Description","Type","Value"," ","","","","","","","","","","","","","","","","","",""
"inv_rsr_sap","Сок","Клееееейкий древесный сок, чистый и свежий.","resource","7","","","","","","","","","","","","","","","","","","",""
"inv_rsr_flowstone","Речной камень","Крошечный камень, сглаженный потоком воды.","resource","10","","","","","","","","","","","","","","","","","","",""
"inv_rsr_dewbell","Колокольчик","На удивление гладкий и податливый, а недостаток прочности компенсируется блеском.","resource","5","","","","","","","","","","","","","","","","","","",""
"inv_rsr_amber_pearl","Янтарная жемчужина","Гладкий и сверкающий шар древнего сока, ценится за идеальную чистоту.","resource","10","","","","","","","","","","","","","","","","","","",""
"inv_rsr_sprout","Росток воды","Разновидность ростков Росы, встречаются только под водой. Их податливость подходит для крафтинга.","resource","10","","","","","","","","","","","","","","","","","","",""
"inv_rsr_glitterore","Блестящая руда","Описания пока нет )","resource","20","","","","","","","","","","","","","","","","","","",""
"inv_rsr_fetidbook","Зловонная книга","Сгнившая книга с неизвестным содержанием. Открытие вызывает ужасный запах.","resource","25","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"inv_rsr_sandstone","Песчаник","Плотный и твердый, этот песок не так прочен. Однако его можно шлифовать в отличие от других материалов.","resource","8","","","","","","","","","","","","","","","","","","",""
"inv_rsr_succulent","Листок","У зеленого стебля сочные и нежные листья, которые слегка покачиваются при движении. К сожалению, они горькие.","resource","8","","","","","","","","","","","","","","","","","","",""
"inv_rsr_shell_red","Багровый ракушка","Выброшенная ракушка темно-красного цвета. Ценится мореплавателями, мечтающими о море.","resource","30","","","","","","","","","","","","","","","","","","",""
"inv_rsr_shell_yellow","Желтая ракушка","Ярко окрашенная желтая ракушка. Хорошо гармонирует с песками Летнего Бара.","resource","7","","","","","","","","","","","","","","","","","","",""
"inv_rsr_shell_blue","Лазурная ракушка","Тонкая, богато украшенная ракушка синего цвета. Полезна для крафтов за свою прочность.","resource","15","","","","","","","","","","","","","","","","","","",""
"inv_rsr_driftwood","Древесина","Состаренная древесина из самых дальних корней Рощи. Соленый океан разгладил ее мертвую кору.","resource","15","","","","","","","","","","","","","","","","","","",""
"inv_rsr_shell_purple","Пурпурная ракушка","Прочная ракушка, испорченная Гнилью. В покое она раскачивается назад и вперед.","resource","15","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"inv_rsr_cornerstone","Угловой камень","Меловая порода, которая естественным образом образуется в кубики. Полезно для строительства.","resource","12","","","","","","","","","","","","","","","","","","",""
"inv_rsr_pithroot","Пробковый Корень","Стебельчатое растение с прочной оболочкой и мягкой губчатой внутренней частью.","resource","12","","","","","","","","","","","","","","","","","","",""
"inv_rsr_bauble","Безделушка","Хрупкая сфера из стекла. Верхняя часть легко откручивается, но при этом сохраняет идеальную герметичность.","resource","15","","","","","","","","","","","","","","","","","","",""
"inv_rsr_bauble_rot","Гнилая Безделушка","В этой безделушке растет гниль. Хотя он не вреден, он источает слабый зловонный запах.","resource","15","","","","","","","","","","","","","","","","","","",""
"inv_rsr_rustedscrew","Ржавый винт","Давно потеряная часть, нужна для канализации, но может пригодиться в умелых руках.","resource","25","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"inv_rsr_fatwood","Осмол","Небольшой кусок полупрозрачного дерева. Наполнен выдержанным горючим соком.","resource","25","","","","","","","","","","","","","","","","","","",""
"inv_rsr_tombstone","Надгробие","Пыльный, прочный и очень тяжелый. Надпись мелкими буквами неразборчива.","resource","9","","","","","","","","","","","","","","","","","","",""
"inv_rsr_peatpellet","Торфяная гранула","Плотные семена, используемые в сельскохозяйственных целях. Размножает плодородную почву везде, где его посадили.","resource","9","","","","","","","","","","","","","","","","","","",""
"inv_rsr_moonkelp","Лунная водоросль","Водная флора, встречающаяся на Зимней поляне. Зачарована близостью Туманов.","resource","25","","","","","","","","","","","","","","","","","","",""
"inv_rsr_icecube","Кубик льда","Твердый куб воды. Не подходит для строительства, но идеально подходит для охлаждения.","resource","15","","","","","","","","","","","","","","","","","","",""
"inv_rsr_snowflake","
Снежинка ","Кристальная Роса, рожденная из ледяной гнили Зимней чащи. Хрупкая, но острая.","resource","30","","","","","","","","","","","","","","","","","","",""
"inv_rsr_rotwax","Гнилой Воск","Остатки густой слизи. Застывает только в большой Гнили.","resource","30","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"Growables","Name","Description","Type","Value","Objective Text","Map","","","","","","","","","","","","","","","","",""
"inv_rsr_mossball","Шар Маримо","Бодрый, цветущий шар мха. Некоторые думают, что у него есть разум.","resource","5","","","","","SPN - Name","SPN - Desc","","","","","","","","","","","","",""
"inv_rsr_cobblestone","Кусок булыжника","Плотно выросший булыжник образовал прочный камень. Тяжелый, но простой в обращении.","resource","30","","","","","SPN - Name","SPN - Desc","","","","","","","","","","","","",""
"inv_rsr_candlewax","Свечной воск","Восковый, собранный из центра выращенного ореха Кукуи. Используется для термосварки, крафта и декоративных целей.","resource","25","","","","","SPN - Name","SPN - Desc","","","","","","","","","","","","",""
"inv_rsr_eggshell","Фарфоровая ракушка","Хрупкая, ценная ракушка. От нее исходит слегка сладковатый аромат.","resource","50","","","","","SPN - Name","SPN - Desc","","","","","","","","","","","","",""
"inv_rsr_pod","Светящаяся капсула","Светится изнутри нежным Огненным Цветом. Обладает свойствами света и росы.","resource","30","","","","","SPN - Name","SPN - Desc","","","","","","","","","","","","",""
"inv_rsr_yolk","Золотой желток","Серединка пророщенного ореха. Его блеск и растекаемость делают его популярным выбором для полировки в Роще.","resource","50","","","","","SPN - Name","SPN - Desc","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"inv_rsr_rubber","Кусочек резины","Крой из мягкой непрозрачной резины. Его блестящий внешний вид и податливый характер делают игру с ним увлекательной.","resource","5","","","","","SPN - Name","SPN - Desc","","","","","","","","","","","","",""
"inv_rsr_candletwine","Корень шпагата","Высушеный корень ореха Кукуи. Два тонких корня обросли друг друга, что значительно увеличило его силу.","resource","15","","","","","SPN - Name","SPN - Desc","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"Shop","Name","Description","Type","Value","Objective Text","Map","","","","","","","","","","","","","","","","",""
"shop_peatpack","Пакет семян","Восстанавливает счетчик семян в мешочках для всех ваших семян!","shop","","","","","","","","","","","","","","","","","","","",""
"shop_rockmoss","Семена мха","Для мешочка с семенами. Небольшой куст губчатого мха, который быстро растет.","shop","","","","","","","","","","","","","","","","","","","",""
"shop_chickpea","Семена нута","Для мешочка с семенами. Медленнорастущие орешки для продажи с жесткой скорлупой.","shop","","","","","","","","","","","","","","","","","","","",""
"shop_jellybean","Семена желе-бобов","Для мешочка с семенами. Популярный миф гласит, что эти мягкие бобовые впервые были извлечены из туманов.","shop","","","","","","","","","","","","","","","","","","","",""
"shop_kukuinut","Семена Кукуи","Для мешочка с семенами. Жирный орех, который превращается в ценные предметы.","shop","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"Favors","Name","Description","Type","Value","Objective Text","Map","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"inv_fvr_maraschino0","Долг Мараскино","Разочарованный выбором преемника Сливой, Мараскино страдает от безделья. Они попросили вас кальку, чтобы они могли помочь вам с Гнилью.","favor","0","Доставьте 5 камушков кальки Мараскино.","","","","","","","","","","","","","","","","","",""
"inv_fvr_grannysmith0","Сломанная Кузница","...Забаговоное описание...","favor","0","","","","","","","","","","","","","","","","","","",""
"inv_fvr_goldie0","Забытая Лягушка","Голди жаждет помочь Деревушке в трудную минуту. Они раздобыли кое-какие ценные ресурсы для доставки в Марсанну.","favor","0","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"Cosmetics","Name","Description","Type","Value","Objective Text","Map","","","","","","","","","","","","","","","","",""
"inv_hat_cap_a","Синяя Кепка","Кепка из тонкого материала, подходящая для любой Зеленушки.","clothes","50","","","","","","","","","","","","","","","","","","",""
"inv_hat_cap_ama","Грибная Шляпа","Кепка, сделанная Амой, стилизованная по их подобию.","clothes","50","","","","","","","","","","","","","","","","","","",""
"inv_hat_cap_sprout","Кепка Спрута","Кепка, сделанная специально для молодых Зеленушек.","clothes","50","","","","","","","","","","","","","","","","","","",""
"inv_hat_cap_sunny","Солнечная Кепка","Кепка для заядлых любителей Солнца.","clothes","50","","","","","","","","","","","","","","","","","","",""
"inv_hat_cap_pinoy","Кепка Золотого Солнца","Кепка для заядлых любителей Солнца.","clothes","50","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"inv_hat_kino","Шапка путника","Потрепаная но прочная, эта шляпа прошла через множество путешествий.","clothes","75","","","","","","","","","","","","","","","","","","",""
"inv_hat_hibiscus","Цветок Гибискуса","Крошечный цветок гибискуса. Носится на голове сбоку.","clothes","50","","","","","","","","","","","","","","","","","","",""
"inv_hat_crown_big","Королевская корона","Роскошная корона, сделанная из тщательно отполированной руды.","clothes","1000","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"inv_hat_rain_a","Желтая Дождевая шапочка","Классный способ побороть жару в Летнем Баре!","clothes","50","","","","","","","","","","","","","","","","","","",""
"inv_hat_rain_b","Зеленая Дождевая Шапочка","Классный способ побороть жару в Летнем Баре!","clothes","50","","","","","","","","","","","","","","","","","","",""
"inv_hat_rain_c","Красная Дождевая Шапочка","Классный способ побороть жару в Летнем Баре!","clothes","50","","","","","","","","","","","","","","","","","","",""
"inv_hat_rain_sunny","Летняя Дождевая Шапочка","Классный способ побороть жару в Летнем Баре!","clothes","75","","","","","","","","","","","","","","","","","","",""
"inv_hat_glass_dad","Найденные Очки","Эту пару очков выбросило на берег. Выглядит странно.","clothes","100","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"inv_hat_helmet_a","Ореховый Шлем","Кто-то восстановил этот старый шлем! Пахнет довольно затхло.","clothes","100","","","","","","","","","","","","","","","","","","",""
"inv_hat_straw","Фермерская Шляпа","Ручная работа мастеров Осеннего Города для своих фермеров!","clothes","25","","","","","","","","","","","","","","","","","","",""
"inv_hat_miner_a","Шлем архитектора","Прочная защитный шлем. Сделано для архитекторов.","clothes","75","","","","","","","","","","","","","","","","","","",""
"inv_hat_miner_b","Каска шахтера","Прочная защитная каска. Лампочка, к сожалению, погасла.","clothes","75","","","","","","","","","","","","","","","","","","",""
"inv_hat_baron_a","10-Кувшинная Шляпа","Популярная вещь для любой состоятельной Зеленушки.","clothes","50","","","","","","","","","","","","","","","","","","",""
"inv_hat_salakot","Салакот","Традиционная шляпа из старого Осеннего города. Изготовлен из тканого материала и слегка украшен.","clothes","100","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"inv_hat_crown_paper","Бумажная корона","Симпатичная корона из сложенной бумаги. Носят заядлые Весенние читатели книг.","clothes","25","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"inv_hat_wiz_leaf","Шляпа с листьями","Яркая старая шапочка для Весенних магов.","clothes","75","","","","","","","","","","","","","","","","","","",""
"inv_hat_wiz_scribe","Конусная Шляпа","Старая пыльная шапка для Писцов. Носят заядлые Зимнего читатели книг!","clothes","100","","","","","","","","","","","","","","","","","","",""
"inv_hat_wiz_flag","Сверкающий конус","Шляпа для особо могущественных магов.","clothes","75","","","","","","","","","","","","","","","","","","",""
"inv_hat_wiz_pauper","Старая острая Шляпа","Потрепанная старая шляпа, которая согреет тебя ночью!","clothes","25","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"inv_bag_start","Рюкзак Конкорда","Рюкзак для Конкорда!","clothes","0","","","","","","","","","","","","","","","","","","",""
"inv_bag_spr","Солнечный Рюкзак","Рюкзак для Конкорда!","clothes","70","","","","","","","","","","","","","","","","","","",""
"inv_bag_smr","Сумка Океанского Курьера","Рюкзак для Конкорда!","clothes","70","","","","","","","","","","","","","","","","","","",""
"inv_bag_atm","Багажник носильщика","Рюкзак для Конкорда!","clothes","70","","","","","","","","","","","","","","","","","","",""
"inv_bag_wtr","Портфель","Рюкзак для Конкорда!","clothes","70","","","","","","","","","","","","","","","","","","",""
